,D10,D11,D20,I10,I20I11_I10,I20_I10,fitting_error,seconds,tif_num,M3_c,M6_c,A51_c,A59_c,M3_i,M6_i,A59_i,A51_i,Sum,peaks,ISI
57,47.160212761812076,27.227961533072232,23.580106380906038,87564.990985068,1.1906951402501904,0.9937145503243621,0.005320308666068252,0.37,74.0,14.455224332493238,7.325525092663558,5.1912292677784775,5.91594964374721,1319.41607145,502.541532815,2175.3135456257032,526.5216013549608,0.015011386945843697,0.0,6.0
58,47.552451978745914,27.454420950555708,23.776225989372957,91043.95522499333,1.1687564528131082,0.9655823116729018,0.006746540346241559,0.375,75.0,14.498827269062698,7.311000119499766,5.119045627653901,5.920701617505642,1103.75095159,924.357067575,2169.8330196471297,801.9832769579433,-0.0015147539088502526,0.0,6.0
59,47.86585876676334,27.635366443983425,23.93292938338167,87453.17392375428,1.125167772277838,0.9200768772741337,0.0063718431184455184,0.38,76.0,14.494432235615418,7.319650558808197,5.108557926238017,5.922734244778525,1065.01924991,898.072806511,2499.721999485178,432.9825559476866,0.013946137391030787,0.0,6.0
60,47.95818266468582,27.6886696713016,23.97909133234291,80213.55680140361,1.1726314922093788,0.9373021103419231,0.006815953709252143,0.385,77.0,14.343781850396901,7.331690233882099,5.049327237870266,5.875141317487324,1139.36522543,571.394590631,2159.7253271957725,500.976360053117,0.009893259033560751,0.0,6.0
61,47.66867264496859,27.521520983484766,23.834336322484294,87639.34614433252,0.9937066535332861,0.7949689383105896,0.005797479302717457,0.39,78.0,14.42567622733847,7.333234779721792,4.9850394193920256,5.821230427167129,764.298045966,567.377817609,1676.5606520852232,528.8500560329202,0.021345213055610657,0.0,6.0
62,47.1212798518937,27.20548360705052,23.56063992594685,86941.68265439526,0.9630381914034274,0.7633125184674366,0.005904074603449882,0.395,79.0,14.166190453359022,7.269159931983889,5.080404388217305,5.893441312052625,807.2172421,301.992161825,270.4477547107655,122.2501991041907,-0.0040147327817976475,0.0,6.0
63,46.590151307278525,26.898836398842647,23.295075653639262,66675.59912583437,0.9420839204141063,0.7551717067294642,0.013398628270776092,0.4,80.0,14.166013082932823,,5.090042750399896,5.9690064960434075,189.844892291,,166.2154963498873,158.5373912985095,0.014416217803955078,0.0,6.0
64,46.655137501798635,26.936356195742448,23.327568750899317,50246.10657279193,0.9788670314312649,0.776918616890469,0.010675094191781587,0.405,81.0,13.913073092523979,7.317011922483318,5.115947099105283,5.9697962307420065,245.988985774,572.748671437,158.10652626115916,87.0871684336107,0.002689918270334601,0.0,6.0
65,46.76343527711009,26.99888194547115,23.381717638555045,61527.23102628034,0.9163069626900249,0.7208757343472585,0.004445651495360026,0.41000000000000003,82.0,,,5.172031482391521,5.889320987827032,,,73.61779457769892,93.44569997654744,0.033670522272586816,0.0,6.0
66,46.5488530516336,26.874992839828998,23.2744265258168,65293.43498111832,1.02045119174313,0.7936600054200869,0.010727113291720158,0.41500000000000004,83.0,14.165317683460964,7.2667612956645335,5.086494606051143,6.032541657847137,783.15157036,419.7772319,194.035243469458,314.0011889873498,0.016328735277056694,1.0,7.0
67,46.678050064471094,26.94958476996922,23.339025032235547,79763.375442357,1.129143318257302,0.9091697811027831,0.002546840233190184,0.42,84.0,14.439324811566367,7.302737875306941,5.160892402150644,5.914695873537084,782.549111594,422.226913355,1173.811934667598,254.48780811484298,-0.01598350517451763,0.0,7.0
68,46.99272812847249,27.13126423492849,23.496364064236246,86761.14786152226,1.2431319542614974,1.0246550986916085,0.007538783291920148,0.425,85.0,14.423494786544603,7.31277730402496,5.08213275989394,5.905058380466171,1395.07267315,1012.86809402,2329.145431540997,428.0031141381138,0.013521434739232063,0.0,7.0
69,47.396617087589576,27.36444963419746,23.698308543794788,97168.08325157748,1.203806675596577,0.9928272271491371,0.005299404609582893,0.43,86.0,14.509090437701234,7.3129066696605936,5.095789068527759,5.916086569951884,1431.67914701,768.4291718,2293.698358287382,1215.102132527579,-0.01064904313534498,0.0,7.0
70,47.71460074597121,27.548037584962003,23.857300372985605,92175.7896344696,1.146524453587129,0.936240016540114,0.006299026214051651,0.435,87.0,14.477886411786415,7.311269914897519,5.130221872823527,5.909074324941902,1138.02692856,827.593642971,2533.8328592842595,622.8390863532247,-0.007382313255220652,0.0,7.0
71,47.75328955479767,27.57037457915258,23.876644777398834,82441.33766433968,1.0566299568991668,0.8531419633068208,0.004946940421190482,0.44,88.0,14.401677070286649,7.310275666943576,5.042148478641414,5.871308020007865,1242.80257271,593.88936656,2359.921522181962,280.3879352597353,0.006546577904373407,0.0,7.0
72,47.62130239411294,27.494171756401673,23.81065119705647,83290.09836711615,0.9840907897535214,0.7846265310321838,0.006182237136081348,0.445,89.0,14.268994505159515,7.337896508937987,5.081814130752708,5.914382719165577,858.601239257,339.631742323,264.4654579600097,203.0844924710957,-0.017419813200831413,0.0,7.0
